"Região Administrativa";"CÓDIGO";"ESTABELECIMENTO";"ENDEREÇO";"Nº";"BAIRRO";"CEP";"FONE"
"OESTE";24058831;"ESC MUL DJALMA MARANHÃO";"RUA SANTA MARIA MADALENA";2;"FELIPE CAMARÃO";59074540;32324783
"OESTE";24065935;"ESC MUL ESTUDANTE EMMANUEL BEZERRA";"RUA MIRA MANGUE";1187;"PLANALTO";59073230;32324766
"OESTE";24058840;"ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU";"RUA DOS PEGAS";"SN";"QUINTAS";59035100;32324859
"OESTE";24059021;"ESC MUL NOSSA SRA DAS DORES";"RUA RIO POTENGI";3556;"QUINTAS";59040580;32324862
"OESTE";24058882;"ESC MUL PREF MÁRIO LIRA";"AVENIDA ANTÔNIO BASILIO";1,24;"DIX-SEPT ROSÁDO";59054380;32324857
"OESTE";24058920;"ESC MUL PROF BERILO WANDERLEY";"RUA DOS PAIANASÉS";"S/N";"QUINTAS";59052350;32324856
"OESTE";24058939;"ESC MUL PROF BERNARDO DO NASCIMENTO";"RUA NOSSA SENHORA DO LIVRAMENTO";;"FELIPE CAMARÃO";59072420;32058057
"OESTE";24058947;"ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI";"RUA DA LAGOA SECA";;"GUARAPES";59074750;32324765
"OESTE";24060364;"ESC MUL PROF LUÍS MARANHÃO FILHO";"SOLANGE NUNES DO NASCIMENTO";239;"CIDADE NOVA";59072500;32324775
"OESTE";24066451;"ESC MUL PROF VERÍSSIMO DE MELO";"RUA RAINHA DO MAR";"SN";"FELIPE CAMARÃO";59074160;32324778
"OESTE";24058823;"ESC MUL PROF ZUZA";"MIGUEL CASTRO";"SNº";"N. SRA DE NAZARÉ";59062000;32324868
"OESTE";24069000;"ESC MUL PROFA ALMERINDA BEZERRA FURTADO";"RUA DA RIBEIRA";"SN";"GUARAPES";59074760;32324764
"OESTE";24060321;"ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA";"RUA PREF GENTIL FERREIRA";;"QUINTAS";59050050;32324858
"OESTE";24056731;"ESC MUL PROFA EMÍLIA RAMOS";"RUA DANTAS BARRETO";419;"CIDADE NOVA";59072500;32322127
"OESTE";24058980;"ESC MUL PROFA FRANCISCA FERREIRA DA SILVA";"AV INDUSTRIAL JOÃO FRANCISCO DA MOTA";3804;"BOM PASTOR";59060480;32324861
